scientific_name,mass_g
Andropadus importunus,27.4
Androphobus viridis,30.5
Anhima cornuta,3150.0
Anhinga anhinga,1235.0
Anhinga melanogaster,1480.1
Anhinga novaehollandiae,1480.1
Anhinga rufa,1480.1
Anisognathus igniventris,34.0
Anisognathus lacrymosus,31.0
Anisognathus melanogenys,41.0
Anisognathus notabilis,57.3
Anisognathus somptuosus,44.5
Anodorhynchus glaucus,940.0
Anodorhynchus hyacinthinus,1331.0
Anodorhynchus leari,940.0
Anomalospiza imberbis,20.5
Anopetia gounellei,3.2
Anorrhinus austeni,933.0
Anorrhinus galeritus,1172.0
Anorrhinus tickelli,792.6
Anous albivitta,72.2
Anous ceruleus,53.0
Anous minutus,112.4
Anous stolidus,177.8
Anous tenuirostris,112.0
Anser albifrons,2506.4
Anser anser,3302.4
Anser brachyrhynchus,2642.0
Anser caerulescens,2636.2
Anser canagicus,2136.5
Anser cygnoides,3511.9
Anser erythropus,1755.5
Anser fabalis,2754.7
Anser indicus,2212.6
Anser rossii,1636.0
Anser serrirostris,2668.0
Anseranas semipalmata,2393.4
Anthipes monileger,11.0
Anthipes solitaris,13.1
Anthobaphes violacea,9.4
Anthocephala berlepschi,3.9
Anthocephala floriceps,3.9
Anthochaera carunculata,106.1
Anthochaera chrysoptera,67.8
Anthochaera lunulata,61.8
Anthochaera paradoxa,143.7
Anthochaera phrygia,40.0
Anthornis melanura,26.9
Anthoscopus caroli,6.9
Anthoscopus flavifrons,8.0
Anthoscopus minutus,6.6
Anthoscopus musculus,5.2
Anthoscopus parvulus,5.8
Anthoscopus punctifrons,7.0
Anthracoceros albirostris,892.9
Anthracoceros coronatus,806.7
Anthracoceros malayanus,1050.0
Anthracoceros marchei,750.0
Anthracoceros montani,741.0
Anthracothorax dominicus,5.8
Anthracothorax mango,8.3
Anthracothorax nigricollis,7.0
Anthracothorax prevostii,6.4
Anthracothorax veraguensis,7.0
Anthracothorax viridigula,7.5
Anthracothorax viridis,6.6
Anthreptes anchietae,8.0
Anthreptes aurantius,12.5
Anthreptes gabonicus,10.6
Anthreptes griseigularis,15.0
Anthreptes longuemarei,11.4
Anthreptes malacensis,11.3
Anthreptes neglectus,11.8
Anthreptes orientalis,10.3
Anthreptes rectirostris,10.6
Anthreptes reichenowi,7.3
Anthreptes rhodolaemus,13.1
Anthreptes rubritorques,10.7
Anthreptes seimundi,6.6
Anthreptes simplex,8.9
Anthropoides paradiseus,4540.6
Anthropoides virgo,2417.0
Anthus antarcticus,36.1
Anthus berthelotii,15.9
Anthus bogotensis,25.1
Anthus brachyurus,15.3
Anthus caffer,16.8
Anthus campestris,23.0
Anthus cervinus,20.9
Anthus chacoensis,12.6
Anthus cinnamomeus,32.2
Anthus correndera,20.9
Anthus crenatus,30.7
Anthus furcatus,20.1
Anthus godlewskii,25.3
Anthus gustavi,19.8
Anthus gutturalis,36.3
Anthus hellmayri,18.6
Anthus hodgsoni,21.3
Anthus hoeschi,27.0
Anthus leucophrys,25.0
Anthus lineiventris,35.0
Anthus lutescens,12.6
Anthus melindae,22.5
Anthus nattereri,19.5
Anthus nicholsoni,25.3
Anthus nilghiriensis,31.0
Anthus novaeseelandiae,24.1
Anthus nyassae,24.3
Anthus pallidiventris,31.0
Anthus peruvianus,12.6
Anthus petrosus,22.4
Anthus pratensis,18.4
Anthus richardi,32.2
Anthus roseatus,20.6
Anthus rubescens,20.7
Anthus rufulus,20.4
Anthus similis,25.3
Anthus sokokensis,15.0
Anthus spinoletta,23.9
Anthus spragueii,25.5
Anthus sylvanus,31.0
Anthus trivialis,23.3
Anthus vaalensis,27.0
Antigone antigone,5916.2
Antigone canadensis,4296.2
Antigone rubicunda,6222.8
Antigone vipio,4663.0
Antilophia bokermanni,19.8
Antilophia galeata,21.5
Antrostomus arizonae,53.3
Antrostomus badius,59.8
Antrostomus carolinensis,109.0
Antrostomus cubanensis,63.5
Antrostomus noctitherus,36.1
Antrostomus ridgwayi,48.0
Antrostomus rufus,94.2
Antrostomus salvini,56.0
Antrostomus saturatus,52.0
Antrostomus sericocaudatus,83.0
Antrostomus vociferus,53.3
Anumara forbesi,65.9
Anumbius annumbi,41.5
Anurolimnas castaneiceps,126.0
Anurolimnas fasciatus,69.0
Anurolimnas viridis,64.3
Apalis alticola,12.1
Apalis argentea,9.3
Apalis bamendae,9.2
Apalis binotata,8.2
Apalis chapini,8.8
Apalis chariessa,9.2
Apalis chirindensis,8.6
Apalis cinerea,9.9
Apalis flavida,8.2
Apalis flavigularis,11.1
Apalis fuscigularis,11.0
Apalis goslingi,8.2
Apalis jacksoni,8.7
Apalis kaboboensis,8.4
Apalis karamojae,9.2
Apalis lynesi,11.4
Apalis melanocephala,8.8
Apalis nigriceps,8.4
Apalis personata,11.0
Apalis porphyrolaema,8.4
Apalis ruddi,9.7
Apalis rufogularis,8.3
Apalis sharpii,8.7
Apalis thoracica,11.1
Apaloderma aequatoriale,67.7
Apaloderma narina,67.7
Apaloderma vittatum,55.0
Apalopteron familiare,15.0
Aphanotriccus audax,11.2
Aphanotriccus capitalis,11.8
Aphelocephala leucopsis,12.3
Aphelocephala nigricincta,10.4
Aphelocephala pectoralis,9.0
Aphelocoma californica,85.7
Aphelocoma coerulescens,77.1
Aphelocoma insularis,85.7
Aphelocoma ultramarina,113.3
Aphelocoma unicolor,124.0
Aphelocoma wollweberi,113.3
Aphelocoma woodhouseii,90.2
Aphrastura masafuerae,12.2
Aphrastura spinicauda,11.5
Aphrodroma brevirostris,357.0
Aplonis atrifusca,146.0
Aplonis brunneicapillus,66.7
Aplonis cantoroides,55.7
Aplonis cinerascens,82.9
Aplonis crassa,59.0
Aplonis dichroa,84.0
Aplonis feadensis,72.0
Aplonis grandis,134.0
Aplonis insularis,69.9
Aplonis magna,190.0
Aplonis metallica,56.5
Aplonis minor,42.0
Aplonis mysolensis,62.0
Aplonis mystacea,68.7
Aplonis opaca,83.4
Aplonis panayensis,56.2
Aplonis pelzelni,47.0
Aplonis santovestris,68.7
Aplonis striata,54.2
Aplonis tabuensis,62.5
Aplonis zelandica,68.7
Aprositornis disjuncta,15.0
Aprosmictus erythropterus,136.0
Aprosmictus jonquillaceus,119.0
Aptenodytes forsteri,33569.3
Aptenodytes patagonicus,11731.1
Apteryx australis,2320.5
Apteryx haastii,2022.7
Apteryx mantelli,2320.5
Apteryx owenii,1238.3
Apteryx rowi,1924.0
Apus acuticauda,39.4
Apus aequatorialis,92.8
Apus affinis,22.6
Apus alexandri,39.4
Apus apus,37.6
Apus balstoni,42.8
Apus barbatus,42.8
Apus batesi,22.1
Apus berliozi,38.2
Apus bradfieldi,42.4
Apus caffer,22.1
Apus cooki,39.4
Apus horus,27.5
Apus leuconyx,39.4
Apus melba,100.4
Apus niansae,32.5
Apus nipalensis,29.8
Apus pacificus,39.4
Apus pallidus,41.9
Apus salimalii,39.4
Apus unicolor,22.5
Aquila adalberti,2958.0
Aquila africana,1047.0
Aquila audax,3449.9
Aquila chrysaetos,4248.0
Aquila fasciata,1936.5
Aquila gurneyi,3060.0
Aquila heliaca,3125.2
Aquila nipalensis,2714.3
Aquila rapax,2236.1
Aquila spilogaster,1466.2
Aquila verreauxii,4195.0
Ara ambiguus,1300.0
Ara ararauna,1125.0
Ara chloropterus,1214.0
Ara glaucogularis,784.0
Ara macao,1015.0
Ara militaris,1134.0
Ara rubrogenys,468.0
Ara severus,343.0
Arachnothera affinis,26.4
Arachnothera chrysogenys,23.2
Arachnothera clarae,30.1
Arachnothera crassirostris,16.0
Arachnothera dilutior,11.2
Arachnothera everetti,26.4
Arachnothera flammifera,11.8
Arachnothera flavigaster,38.4
Arachnothera juliae,30.1
Arachnothera longirostra,12.5
Arachnothera magna,30.7
Arachnothera modesta,26.4
Arachnothera robusta,29.3
Aramides albiventris,514.0
Aramides axillaris,292.0
Aramides cajaneus,397.0
Aramides calopterus,320.5
Aramides mangle,183.0
Aramides saracura,540.0
Aramides wolfi,454.0
Aramides ypecaha,700.1
Aramidopsis plateni,116.0
Aramus guarauna,1080.0
Aratinga auricapillus,130.0
Aratinga jandaya,89.4
Aratinga maculata,119.6
Aratinga nenday,128.0
Aratinga solstitialis,119.6
Aratinga weddellii,108.0
Arborophila ardens,266.6
Arborophila atrogularis,237.3
Arborophila brunneopectus,291.5
